resp.var,modname,AICc,BIC,r2.vals,r2.vals.unique,edf,edf.less.1,delta.AICc,delta.BIC,wi.AICc,wi.BIC,layer_depth,layer_detrended,layer_roughness,layer_tpi,cumsum.wi
biota.unconsolidated.layer_depth,layer_depth,1693.994716,1709.844888,0.12944,NA,4.96,0,136.98,108.433,0,0,1,0,0,0,1
biota.unconsolidated.layer_roughness+layer_tpi,layer_roughness+layer_tpi,1724.407961,1751.821327,0.12125,NA,8.7,0,167.394,150.41,0,0,0,0,1,1,1
biota.unconsolidated.layer_roughness,layer_roughness,1754.034155,1769.545383,0.12532,NA,4.86,0,197.02,168.134,0,0,0,0,1,0,1
mesophotic.reef.layer_depth+layer_detrended+layer_roughness+layer_tpi,layer_depth+layer_detrended+layer_roughness+layer_tpi,922.4133971,972.6834493,0.26838,NA,16.44,0,0,0,1,1,1,1,1,1,1
mesophotic.reef.layer_depth+layer_detrended+layer_roughness,layer_depth+layer_detrended+layer_roughness,967.1908447,997.976592,0.22417,NA,9.81,0,44.777,25.293,0,0,1,1,1,0,1
mesophotic.reef.layer_depth+layer_detrended+layer_tpi,layer_depth+layer_detrended+layer_tpi,973.9363195,1013.526314,0.22534,NA,12.76,0,51.523,40.843,0,0,1,1,0,1,1
mesophotic.reef.layer_detrended+layer_roughness+layer_tpi,layer_detrended+layer_roughness+layer_tpi,982.4473182,1020.739342,0.20718,NA,12.32,0,60.034,48.056,0,0,0,1,1,1,1
mesophotic.reef.layer_depth+layer_roughness+layer_tpi,layer_depth+layer_roughness+layer_tpi,984.3818519,1023.637485,0.21843,NA,12.64,0,61.968,50.954,0,0,1,0,1,1,1
mesophotic.reef.layer_detrended+layer_tpi,layer_detrended+layer_tpi,1000.368731,1028.511618,0.19051,NA,8.94,0,77.955,55.828,0,0,0,1,0,1,1
mesophotic.reef.layer_depth+layer_roughness,layer_depth+layer_roughness,1031.139078,1057.878704,0.17688,NA,8.48,0,108.726,85.195,0,0,1,0,1,0,1
mesophotic.reef.layer_roughness+layer_tpi,layer_roughness+layer_tpi,1031.853433,1058.970208,0.16217,NA,8.6,0,109.44,86.287,0,0,0,0,1,1,1
mesophotic.reef.layer_depth+layer_detrended,layer_depth+layer_detrended,1035.063718,1062.853813,0.16008,NA,8.82,0,112.65,90.17,0,0,1,1,0,0,1
mesophotic.reef.layer_depth+layer_tpi,layer_depth+layer_tpi,1082.464174,1110.258933,0.1327,NA,8.82,0,160.051,137.575,0,0,1,0,0,1,1
mesophotic.reef.layer_tpi,layer_tpi,1090.01824,1105.901632,0.11345,NA,4.97,0,167.605,133.218,0,0,0,0,0,1,1
mesophotic.reef.layer_detrended+layer_roughness,layer_detrended+layer_roughness,1097.260683,1119.433391,0.09972,NA,6.99,0,174.847,146.75,0,0,0,1,1,0,1
mesophotic.reef.layer_detrended,layer_detrended,1111.220848,1127.020704,0.07757,NA,4.95,0,188.807,154.337,0,0,0,1,0,0,1
photic.reef.layer_depth+layer_detrended+layer_roughness+layer_tpi,layer_depth+layer_detrended+layer_roughness+layer_tpi,998.5277381,1047.862371,0.22065,NA,16.11,0,0,9.835,0.559,0.007,1,1,1,1,0.559
photic.reef.layer_depth+layer_detrended+layer_roughness,layer_depth+layer_detrended+layer_roughness,999.0030517,1038.027161,0.22084,NA,12.57,0,0.475,0,0.441,0.993,1,1,1,0,1
photic.reef.layer_depth+layer_roughness+layer_tpi,layer_depth+layer_roughness+layer_tpi,1029.456868,1067.075217,0.19131,NA,12.09,0,30.929,29.048,0,0,1,0,1,1,1
photic.reef.layer_depth+layer_roughness,layer_depth+layer_roughness,1036.203002,1063.525746,0.19467,NA,8.67,0,37.675,25.499,0,0,1,0,1,0,1
photic.reef.layer_depth+layer_detrended+layer_tpi,layer_depth+layer_detrended+layer_tpi,1078.810465,1117.494843,0.18938,NA,12.45,0,80.283,79.468,0,0,1,1,0,1,1
photic.reef.layer_depth+layer_tpi,layer_depth+layer_tpi,1098.802186,1126.085042,0.157,NA,8.66,0,100.274,88.058,0,0,1,0,0,1,1
photic.reef.layer_depth+layer_detrended,layer_depth+layer_detrended,1101.128604,1128.532623,0.18433,NA,8.7,0,102.601,90.505,0,0,1,1,0,0,1
photic.reef.layer_detrended+layer_roughness+layer_tpi,layer_detrended+layer_roughness+layer_tpi,1101.988033,1141.865971,0.11945,NA,12.86,0,103.46,103.839,0,0,0,1,1,1,1
photic.reef.layer_roughness+layer_tpi,layer_roughness+layer_tpi,1116.536221,1144.740467,0.10094,NA,8.96,0,118.008,106.713,0,0,0,0,1,1,1
photic.reef.layer_depth,layer_depth,1128.774033,1144.334204,0.15661,NA,4.87,0,130.246,106.307,0,0,1,0,0,0,1
