"campaignid","sample","family","genus","species","length","number","range"
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB593","Caesionidae","Caesio","cuning",225.13986,1,3461.65842
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB593","Caesionidae","Caesio","cuning",199.87835,1,3283.24939
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB593","Caesionidae","Caesio","cuning",228.21442,1,3107.72717
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB593","Caesionidae","Caesio","cuning",156.77531,1,3538.0412
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB593","Caesionidae","Caesio","cuning",194.16481,1,3848.35186
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB593","Caesionidae","Caesio","cuning",187.90528,1,3958.65641
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB593","Chaetodontidae","Heniochus","acuminatus",148.15247,1,1614.849
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB593","Acanthuridae","Naso","unicornis",233.16322,1,3469.66351
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB593","Acanthuridae","Naso","unicornis",286.62634,1,3333.88056
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB593","Acanthuridae","Naso","unicornis",260.57965,1,3067.19559
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB593","Acanthuridae","Naso","unicornis",230.71893,1,3216.01081
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB593","Chaetodontidae","Chelmon","marginalis",124.90015,1,1663.78531
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB593","Labridae","Choerodon","schoenleinii",303.82915,1,2400.06828
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB593","Synodontidae","Synodus","dermatogenys",135.55362,1,2271.98723
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB593","Scaridae","Scarus","sp3",258.31399,1,3425.04322
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB593","Scaridae","Scarus","sp3",278.84866,1,4089.62136
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB593","Scaridae","Scarus","sp3",314.11283,1,4007.58477
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB593","Acanthuridae","Acanthurus","grammoptilus",208.51215,1,2663.92905
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB593","Serranidae","Epinephelus","polyphekadion",540.91985,1,2366.25154
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB593","Lutjanidae","Symphorus","nematophorus",722.31522,1,1407.00575
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB593","Siganidae","Siganus","doliatus",138.60995,1,3457.76943
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB593","Siganidae","Siganus","doliatus",176.41851,1,3343.18672
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB593","Labridae","Thalassoma","lunare",70.23121,1,2559.35648
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB593","Scaridae","Chlorurus","sordidus",72.29563,1,2785.14959
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB593","Chaetodontidae","Chaetodon","aureofasciatus",95.74826,1,3132.51167
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB593","Chaetodontidae","Chaetodon","aureofasciatus",91.49178,1,3242.72418
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB593","Lutjanidae","Lutjanus","lemniscatus",335.34849,1,1959.29575
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB593","Mullidae","Parupeneus","barberinoides",186.29537,1,3508.62022
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB593","Lethrinidae","Lethrinus","atkinsoni",292.63897,1,1946.55672
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB593","Lethrinidae","Lethrinus","atkinsoni",228.46918,1,3723.89787
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB593","Lethrinidae","Lethrinus","atkinsoni",227.75442,1,3783.57757
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB593","Lethrinidae","Lethrinus","atkinsoni",302.97577,1,4255.56822
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB593","Lethrinidae","Lethrinus","atkinsoni",290.07739,1,4030.90278
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB593","Lethrinidae","Lethrinus","atkinsoni",279.7348,1,2301.30106
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB593","Lethrinidae","Lethrinus","atkinsoni",234.67104,1,1715.76948
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB593","Labridae","Coris","aygula",335.19632,1,3977.8831
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB593","Lethrinidae","Lethrinus","atkinsoni",238.8226,1,1469.49948
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB593","Carangidae","Scomberoides","lysan",409.50252,1,2263.68892
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB593","Serranidae","Plectropomus","spp",237.248,1,2371.57295
