"","modname","AICc","BIC","r2.vals","r2.vals.unique","edf","edf.less.1","delta.AICc","delta.BIC","wi.AICc","wi.BIC","depth","mean.relief","sd.relief","reef","status","cumsum.wi"
"Chromis fumea.sd.relief","sd.relief",282.598687650763,288.885135801605,0.12903,NA,3.47,0,0.37,0.109,0.092,0.088,0,0,1,0,0,0.403
"Chromis fumea.reef+sd.relief","reef+sd.relief",282.60546094711,289.343976914533,0.19026,NA,4.55,0,0.377,0.568,0.092,0.07,0,0,1,1,0,0.495
"Chromis fumea.reef","reef",283.792585452789,289.620526964999,0.08129,NA,2.8,0,1.564,0.844,0.051,0.061,0,0,0,1,0,0.546
"Chromis fumea.sd.relief+status","sd.relief+status",283.886938478113,290.595935639838,0.15167,NA,4.46,0,1.658,1.82,0.048,0.037,0,0,1,0,1,0.594
"Chromis fumea.mean.relief+sd.relief","mean.relief+sd.relief",284.273691571508,291.007719382812,0.16475,NA,4.54,0,2.045,2.232,0.04,0.031,0,1,1,0,0,0.634
"Chromis fumea.depth","depth",284.314788066849,290.282542265523,0.07589,NA,2.97,0,2.086,1.506,0.039,0.044,1,0,0,0,0,0.673
"Chromis fumea.reef+sd.relief.by.status+status","reef+sd.relief.by.status+status",284.498025732676,290.73765361542,0.32638,NA,7.52,0,2.27,1.962,0.036,0.035,0,0,1,1,1,0.709
"Chromis fumea.depth+mean.relief+sd.relief","depth+mean.relief+sd.relief",284.667426922934,291.570088990651,0.2011,NA,5.51,0,2.439,2.794,0.033,0.023,1,1,1,0,0,0.742
"Chromis fumea.mean.relief+status","mean.relief+status",284.725813400899,290.433630262732,0.08106,NA,3,0,2.497,1.658,0.032,0.041,0,1,0,0,1,0.774
"Chromis fumea.mean.relief.by.status+sd.relief+status","mean.relief.by.status+sd.relief+status",284.737704312525,290.438067495372,0.2999,NA,8.22,0,2.509,1.662,0.032,0.041,0,1,1,0,1,0.806
"Chromis fumea.mean.relief+sd.relief+status","mean.relief+sd.relief+status",284.978955703999,291.884224013674,0.20909,NA,5.59,0,2.751,3.108,0.028,0.02,0,1,1,0,1,0.834
"Chromis fumea.null","null",285.154442341096,289.046292977177,0,NA,1,0,2.926,0.27,0.026,0.081,0,0,0,0,0,0.86
"Chromis fumea.status","status",285.441682619083,290.329741531707,0.03276,NA,2,0,3.213,1.554,0.022,0.043,0,0,0,0,1,0.882
"Chromis fumea.depth+mean.relief","depth+mean.relief",285.501897756587,292.010426829857,0.10905,NA,3.96,0,3.273,3.234,0.022,0.018,1,1,0,0,0,0.904
"Chromis fumea.mean.relief","mean.relief",285.833011773041,290.721100000452,0.03991,NA,2,0,3.605,1.945,0.018,0.035,0,1,0,0,0,0.922
"Chromis fumea.reef.by.status+status","reef.by.status+status",285.850722727106,292.69919695394,0.12526,NA,4.92,0,3.622,3.923,0.018,0.013,0,0,0,1,1,0.94
"Chromis fumea.sd.relief.by.status+status","sd.relief.by.status+status",286.112261096599,292.807458820008,0.23818,NA,6.62,0,3.884,4.031,0.016,0.012,0,0,1,0,1,0.956
"Chromis fumea.reef.by.status+sd.relief+status","reef.by.status+sd.relief+status",286.166996271482,292.30779492294,0.27689,NA,7.65,0,3.939,3.532,0.015,0.016,0,0,1,1,1,0.971
"Chromis fumea.mean.relief+sd.relief.by.status+status","mean.relief+sd.relief.by.status+status",286.582940998675,292.853201767092,0.31742,NA,7.48,0,4.354,4.077,0.013,0.012,0,1,1,0,1,0.984
"Chromis fumea.mean.relief.by.status+status","mean.relief.by.status+status",286.939610354412,293.666441560988,0.07985,NA,4.67,0,4.711,4.89,0.01,0.008,0,1,0,0,1,0.994
"Chromis fumea.reef.by.status+sd.relief.by.status+status","reef.by.status+sd.relief.by.status+status",288.407039585373,294.040486384453,0.30987,NA,8.29,0,6.179,5.264,0.005,0.007,0,0,1,1,1,0.999
"Chromis fumea.mean.relief.by.status+sd.relief.by.status+status","mean.relief.by.status+sd.relief.by.status+status",288.899034626548,293.263032316426,0.29934,NA,9.17,0,6.671,4.487,0.004,0.01,0,1,1,0,1,1.003
"total.abundance","depth+mean.relief",2025.48010572446,2053.93847977543,0.14046,NA,6.09,0,0,2.517,0.982,0.149,1,1,0,0,0,0.982
"species.richness.mean.relief","mean.relief",1393.79055754748,1413.05554246475,0.36883,NA,3.7,0,0,0,0.452,0.82,0,1,0,0,0,0.452
"species.richness.depth+mean.relief","depth+mean.relief",1394.44869882475,1417.14841539254,0.38028,NA,4.71,0,0.658,4.093,0.325,0.106,1,1,0,0,0,0.777
"species.richness.mean.relief+status","mean.relief+status",1395.61486851798,1417.915133609,0.36905,NA,4.68,0,1.824,4.86,0.181,0.072,0,1,0,0,1,0.958
"species.richness.mean.relief.by.status+status","mean.relief.by.status+status",1398.54954940885,1426.01941992755,0.37806,NA,5.95,0,4.759,12.964,0.042,0.001,0,1,0,0,1,1
